RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000021219	3	0	0	1	0	6	0	0	0	0	1	0	2	0	0
ENSMUSG00000021221	1	3	0	5	13	10	3	6	4	17	13	5	24	17	22
ENSMUSG00000021222	1650	2144	1265	1103	1049	1086	864	1154	964	1059	838	993	1669	904	1215
ENSMUSG00000021223	6	3	0	0	0	2	1	1	1	4	1	1	1	3	3
ENSMUSG00000021224	2510	2580	1656	1570	1622	716	540	732	708	955	834	953	1691	1077	1248
ENSMUSG00000021226	1515	1874	1158	1655	1502	790	664	811	1003	780	672	1418	1336	835	1096
ENSMUSG00000021228	8	0	0	0	0	2	0	0	0	0	0	0	2	0	1
ENSMUSG00000021234	66	79	40	15	34	12	9	22	26	29	12	40	35	40	47
ENSMUSG00000021235	1039	978	645	669	843	1050	888	1105	818	777	800	740	1019	736	1018
ENSMUSG00000021236	4195	4784	3431	2987	3693	2849	1000	1255	1020	940	570	920	1773	1259	1773
ENSMUSG00000021238	771	1301	599	296	350	115	98	115	184	255	210	187	436	322	355
ENSMUSG00000021239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021240	528	878	397	556	672	480	218	314	243	322	386	196	632	424	481
ENSMUSG00000021241	1966	2921	2060	2451	2206	2137	1646	2053	1636	2357	2148	2912	3035	2070	3167
ENSMUSG00000021242	44458	40964	37915	24022	25296	25863	10032	13685	10840	10876	17842	12767	20941	9273	15259
ENSMUSG00000021243	3579	4408	2569	3706	3718	3675	3740	4751	4151	2262	2801	3292	3240	2361	3486
ENSMUSG00000021244	1550	1730	860	861	889	320	601	760	1097	664	668	778	828	913	976
ENSMUSG00000021245	587	1284	418	462	387	125	171	201	335	74	147	95	114	155	225
ENSMUSG00000021248	7091	7066	5347	5347	5640	4643	5273	6589	5756	4697	5506	6260	7702	5132	7850
ENSMUSG00000021250	318	138	182	27	27	57	577	1011	771	158	950	423	1036	266	347
ENSMUSG00000021252	2992	3635	2727	4035	3894	5268	4167	5054	3849	3720	3596	4221	4804	3649	5073
ENSMUSG00000021253	17	24	12	16	22	18	5	6	10	50	35	24	33	6	55
ENSMUSG00000021254	1415	1691	1115	1115	1373	981	564	789	687	813	664	666	1327	812	1077
ENSMUSG00000021255	0	0	3	1	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000021256	0	0	0	2	0	0	0	0	1	2	1	0	0	2	1
ENSMUSG00000021257	666	810	530	255	315	245	320	373	284	452	194	269	555	256	325
ENSMUSG00000021258	350	289	166	305	287	153	215	249	279	288	256	160	248	235	294
ENSMUSG00000021259	4	1	0	0	0	0	0	0	0	0	0	0	1	0	2
ENSMUSG00000021260	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000021262	12395	15589	11462	8662	9359	8366	3442	4926	4206	5634	3985	3008	8464	6358	8929
ENSMUSG00000021263	83	118	38	35	30	15	11	11	11	14	23	23	28	22	59
ENSMUSG00000021264	1646	1824	837	1327	1351	647	943	1083	1229	1098	899	1157	1262	1094	1275
ENSMUSG00000021265	209	254	248	185	180	127	58	63	74	157	84	70	134	120	160
ENSMUSG00000021266	3219	3791	2753	2842	3524	3679	3524	4236	3320	2511	1838	2459	4483	2643	2317
ENSMUSG00000021268	5	2	0	0	0	3	2	9	6	0	3	2	0	0	5
ENSMUSG00000021270	4734	4621	1419	3343	3595	2264	5873	7054	10362	1821	1468	2510	1624	2285	3076
ENSMUSG00000021271	166	182	74	172	171	125	77	77	99	28	93	75	77	35	111
ENSMUSG00000021273	1097	1361	1268	1243	1499	1822	1434	1722	1205	1423	1335	1627	2677	1525	1695
ENSMUSG00000021275	301	413	190	175	155	109	60	78	101	90	131	89	144	96	171
ENSMUSG00000021276	1284	1637	1062	882	935	1419	2324	2764	1947	960	938	1207	1609	802	1257
ENSMUSG00000021277	911	1165	603	632	666	375	315	460	462	385	484	304	785	456	671
ENSMUSG00000021278	0	1	0	3	5	5	0	0	0	0	3	1	3	0	1
ENSMUSG00000021279	2	0	0	8	1	0	5	6	8	2	30	9	28	15	20
ENSMUSG00000021280	2	0	1	2	1	0	3	0	0	1	4	0	7	0	1
ENSMUSG00000021281	7	4	3	37	44	25	105	94	108	51	378	120	310	51	228
ENSMUSG00000021282	7629	9005	4835	6464	5920	2195	2850	3489	6005	3370	3013	3547	4461	5460	6876
ENSMUSG00000021285	916	711	600	404	395	346	129	161	198	253	243	206	315	218	283
ENSMUSG00000021286	419	360	337	150	153	184	158	265	251	300	278	214	373	257	270
ENSMUSG00000021287	135	155	110	93	126	260	453	601	339	89	107	88	213	128	186
ENSMUSG00000021288	680	617	609	656	550	654	526	803	776	711	756	255	817	870	1148
ENSMUSG00000021290	2237	2038	1785	2533	2644	3968	3131	4093	3369	2175	2560	1770	2543	1998	3105
ENSMUSG00000021294	1	0	0	0	0	3	0	0	0	0	0	2	1	0	1
ENSMUSG00000021298	7191	7404	4244	5563	6131	4223	1282	1717	1508	1983	1869	1631	3397	2362	3106
ENSMUSG00000021301	15	2	0	6	2	2	0	1	1	13	7	3	3	5	2
ENSMUSG00000021302	4232	5301	2186	2905	3231	1526	1493	2001	2105	1620	1469	2380	2239	1759	2731
ENSMUSG00000021303	1	0	1	6	1	0	0	0	0	0	1	3	0	0	2
ENSMUSG00000021306	20	2	4	36	34	15	21	14	9	44	215	61	180	9	126
ENSMUSG00000021311	1697	2402	1028	1039	1103	573	834	1070	1005	656	710	700	1212	947	1268
ENSMUSG00000021313	13	2	4	3	4	1	0	0	0	1	4	0	3	6	6
ENSMUSG00000021314	0	0	1	4	2	3	2	7	6	83	70	53	162	116	115
ENSMUSG00000021318	2	0	0	0	0	3	0	0	2	0	1	0	0	0	1
ENSMUSG00000021319	2	1	0	0	7	0	5	6	3	474	757	2423	530	326	120
ENSMUSG00000021322	4	2	17	33	74	29	102	133	111	530	589	429	972	591	2137
ENSMUSG00000021326	673	686	521	750	667	685	663	741	686	604	670	532	644	617	779
ENSMUSG00000021327	1329	2036	865	1027	1024	514	514	721	747	890	846	928	976	1024	1651
ENSMUSG00000021335	1	1	0	1	3	0	0	0	0	0	1	0	2	0	2
ENSMUSG00000021336	4	0	3	0	0	0	0	0	0	0	2	0	4	0	13
ENSMUSG00000021337	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021338	34	6	0	21	28	13	9	13	22	14	40	25	32	0	28
ENSMUSG00000021339	293	385	195	314	247	166	157	190	188	192	173	220	241	220	224
ENSMUSG00000021340	1	12	3	4	21	9	91	55	52	309	302	265	287	218	80
ENSMUSG00000021342	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ENSMUSG00000021345	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0
ENSMUSG00000021346	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3
ENSMUSG00000021347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021348	1	1	0	0	0	2	0	0	0	0	1	0	2	0	0
ENSMUSG00000021356	81	54	22	406	536	547	2205	2462	3048	165	491	239	458	186	410
ENSMUSG00000021357	4768	5597	2900	3803	4312	2075	2359	2846	3342	2518	2204	2418	4233	3199	4090
ENSMUSG00000021359	8	1	0	7	6	0	0	1	2	2	4	4	3	3	1
ENSMUSG00000021360	10	19	3	27	54	11	68	121	64	19	737	192	625	45	602
ENSMUSG00000021361	4190	3837	3633	6360	7032	9988	6669	7778	5856	3816	4025	2896	5567	3361	3324
ENSMUSG00000021362	0	0	0	0	2	5	0	0	0	25	26	25	109	53	32
ENSMUSG00000021363	1	6	2	2	5	0	0	0	0	0	7	8	1	0	4
ENSMUSG00000021364	1	0	0	0	0	0	1	1	1	2	3	0	13	0	0
ENSMUSG00000021365	8952	8999	5504	4519	5479	2896	2561	2909	3551	12526	10006	13504	19028	14950	22407
ENSMUSG00000021366	858	1055	367	343	391	152	264	316	435	180	271	164	309	226	269
ENSMUSG00000021367	2	0	0	0	0	0	2	0	1	0	2	2	1	0	1
ENSMUSG00000021368	291	440	292	635	724	838	907	1191	846	579	515	679	885	620	874
ENSMUSG00000021371	839	1197	536	465	576	169	307	371	351	440	568	561	792	472	933
ENSMUSG00000021373	15	17	23	7	5	1	7	11	18	7	13	13	15	3	2
ENSMUSG00000021374	2800	3070	1488	2348	2343	782	1098	1217	1703	1026	1140	1309	1522	1378	1969
ENSMUSG00000021375	25	51	32	24	27	8	85	122	142	25	122	94	79	10	22
ENSMUSG00000021376	83	122	58	76	106	79	584	643	637	44	156	75	123	25	113
ENSMUSG00000021377	1979	2824	1077	3651	3277	1658	2736	3150	5977	1046	765	1289	1366	1683	2218
ENSMUSG00000021379	2	1	0	1	7	0	0	0	0	2	5	6	5	8	16
ENSMUSG00000021381	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000021384	637	882	766	954	1284	946	808	1119	722	5632	4768	7153	8554	4115	6190
ENSMUSG00000021385	513	605	408	436	497	354	323	376	318	224	262	167	420	253	419
ENSMUSG00000021388	2	3	0	0	0	3	7	5	18	5	9	0	2	6	11
ENSMUSG00000021390	1	4	3	0	0	7	1	8	12	1	13	0	2	1	9
ENSMUSG00000021391	41	42	36	161	177	321	705	964	765	41	159	53	177	129	241
ENSMUSG00000021392	3049	4639	1514	2243	2174	538	1135	1218	2134	667	365	897	627	764	745
ENSMUSG00000021395	3163	3515	2214	2085	1744	988	1118	1408	1558	1625	1257	2933	2232	2033	2157
ENSMUSG00000021396	0	0	0	0	6	1	0	0	2	6	17	2	34	12	8
ENSMUSG00000021400	275	260	218	307	281	211	300	324	344	400	380	394	384	264	427
ENSMUSG00000021403	0	0	3	55	42	73	17	11	9	9	33	19	10	3	6
ENSMUSG00000021404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021408	757	903	621	1124	1026	542	409	552	694	375	492	531	734	468	925
ENSMUSG00000021411	8	3	3	32	35	30	1	0	6	23	29	12	45	45	4
ENSMUSG00000021413	4057	6560	1784	2989	3071	1119	1662	2018	2789	1376	1124	1563	1651	1675	2275
ENSMUSG00000021414	13	11	22	10	10	2	0	3	5	1	3	6	4	5	5
ENSMUSG00000021415	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0
ENSMUSG00000021416	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
ENSMUSG00000021417	1787	2314	1719	2381	2505	1731	1759	2344	1914	1453	1952	1874	2695	1446	1828
ENSMUSG00000021418	436	784	467	198	187	139	388	470	343	154	232	269	247	140	107
ENSMUSG00000021420	1426	1438	1161	1560	1961	2045	1087	1471	1008	990	1201	1170	1868	1034	1230
ENSMUSG00000021423	125	53	59	453	512	303	593	983	696	325	4901	1577	2715	602	3215
ENSMUSG00000021427	11928	13477	8497	16248	16540	13365	16049	19136	17466	11274	11676	20155	18345	12231	19179
ENSMUSG00000021428	3509	5288	2070	4005	3798	2141	2360	2778	2964	2945	2549	3735	3226	3339	4468
ENSMUSG00000021431	1957	3094	1153	1561	1448	617	667	968	1067	1097	930	1322	1173	1212	2083
ENSMUSG00000021432	2076	2315	1326	1473	1522	890	854	1113	1084	1031	1010	912	1480	1161	1507
ENSMUSG00000021439	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000021440	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000021441	5	0	0	0	0	0	0	0	0	1	1	0	2	0	0
ENSMUSG00000021448	3	0	0	1	3	0	4	5	0	0	3	1	0	0	5
ENSMUSG00000021451	8739	10659	7432	12609	14219	11457	5321	6192	5912	8073	7948	5020	13420	9540	12458
ENSMUSG00000021453	150	155	170	249	239	237	390	554	379	142	241	86	143	140	217
ENSMUSG00000021456	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000021457	76	33	21	283	287	289	167	280	162	220	1321	519	1328	279	1064
ENSMUSG00000021458	2934	3829	2029	3597	4021	3841	3058	3785	3655	4004	3590	5226	5868	4306	6487
ENSMUSG00000021460	1465	1379	991	1378	1487	1346	875	1268	1050	2525	2079	1980	2641	2894	3642
ENSMUSG00000021461	482	580	354	317	324	421	285	341	350	291	390	316	592	404	661
ENSMUSG00000021464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021466	1579	1958	908	372	350	228	653	774	943	576	733	1076	976	811	801
ENSMUSG00000021468	1983	1988	1405	1689	1929	1515	1632	2057	1826	1493	1468	1253	1992	1349	2052
ENSMUSG00000021469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021470	552	923	397	460	518	223	221	291	399	328	269	295	382	349	501
ENSMUSG00000021474	1967	2537	1825	3793	3885	3279	5731	6932	5871	2450	2572	3141	3192	3645	4362
ENSMUSG00000021476	87	154	107	107	115	62	84	80	111	76	139	214	145	87	203
ENSMUSG00000021477	920	991	882	328	355	217	331	515	397	149	599	290	604	252	555
ENSMUSG00000021478	3	0	0	4	0	4	1	0	0	0	0	0	3	0	0
ENSMUSG00000021481	741	867	484	552	586	486	333	439	462	427	300	335	488	500	650
ENSMUSG00000021482	1312	1406	947	1610	1338	540	382	551	686	398	533	756	762	532	690
ENSMUSG00000021483	440	576	280	78	92	80	56	78	48	55	96	101	193	90	80
ENSMUSG00000021484	3859	4437	3243	4079	5060	6008	4020	5046	4019	4559	4451	3341	6009	4068	5333
ENSMUSG00000021485	14	14	1	407	535	1886	1143	1323	962	108	202	101	427	170	629
ENSMUSG00000021486	7822	5919	6525	13366	14094	19898	12052	16102	11821	7683	8804	4093	8795	8363	9874
ENSMUSG00000021488	7284	8955	3684	5169	4974	2292	1999	2604	3586	2794	2575	4362	3707	3749	4917
ENSMUSG00000021490	3	0	0	0	0	5	0	0	0	0	3	3	1	0	0
ENSMUSG00000021492	24	25	28	2	15	9	10	34	8	63	28	41	77	39	91
ENSMUSG00000021493	221	190	196	359	389	490	766	1092	815	686	610	445	744	676	620
ENSMUSG00000021494	2928	3607	2491	3022	2990	3497	3140	4136	3162	2264	2493	1904	3375	2269	2965
ENSMUSG00000021495	781	1534	515	528	473	262	153	236	306	416	471	490	613	514	917
ENSMUSG00000021496	52	81	95	135	106	172	91	113	189	69	99	33	144	125	200
ENSMUSG00000021497	2343	2409	2028	1537	1299	1119	772	1098	1016	953	1258	672	1184	1114	1519
ENSMUSG00000021499	4	3	2	3	1	2	1	1	1	0	1	0	2	0	5
ENSMUSG00000021500	4317	5455	2270	5086	5233	1953	2567	2943	4127	1484	1492	1610	2207	1993	3318
ENSMUSG00000021501	1088	1414	914	945	909	689	537	835	715	1024	840	1325	1263	1053	1376
ENSMUSG00000021504	2377	1969	1770	3513	3287	2672	800	1082	1012	1801	1154	1490	2174	1907	2223
ENSMUSG00000021506	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000021508	0	0	1	0	1	0	0	0	0	1	11	3	2	3	11
ENSMUSG00000021509	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
ENSMUSG00000021510	672	815	229	534	512	140	110	186	399	113	111	234	175	148	237
ENSMUSG00000021514	620	534	237	367	430	141	91	139	208	164	208	262	281	307	354
ENSMUSG00000021518	1858	1597	1312	1939	2179	1973	1271	1770	1590	1539	1529	1244	2065	1773	2129
ENSMUSG00000021519	2413	3288	1486	2334	2390	1228	1274	1748	1857	1527	1227	2014	1669	1262	2164
ENSMUSG00000021520	2904	2971	2182	3400	3383	3912	3723	4714	4081	3485	3373	2597	3823	2904	5113
ENSMUSG00000021532	1124	1416	739	893	1005	717	981	1243	929	1107	656	1415	1393	958	1162
ENSMUSG00000021534	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0
ENSMUSG00000021536	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000021537	3346	4379	2350	3191	3324	2035	2667	3204	3296	1787	1677	2047	2229	1784	2848
ENSMUSG00000021538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021540	1110	978	535	446	486	319	412	449	566	441	548	568	722	522	692
ENSMUSG00000021541	0	1	0	0	0	0	1	0	1	2	4	3	1	0	1
ENSMUSG00000021545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021546	44319	49765	30216	41290	44737	31385	39065	48629	45942	31947	24460	40831	42978	34190	36840
ENSMUSG00000021548	2606	3583	1962	3208	3458	2137	4385	5395	4894	3293	2622	3894	4013	3592	5252
ENSMUSG00000021549	1811	2704	692	1775	1733	548	940	1426	2047	1136	788	2241	1542	1507	2070
ENSMUSG00000021550	1437	1402	1647	2245	2067	2174	1513	1790	2109	825	1371	411	1455	1741	2119
ENSMUSG00000021552	50	58	9	32	46	10	17	8	16	20	34	96	62	100	97
ENSMUSG00000021553	4	0	0	0	0	10	0	0	0	1	3	4	4	0	5
ENSMUSG00000021555	1855	2096	1421	1783	1956	1752	1738	2347	1961	1998	1605	2412	2772	1770	2395
ENSMUSG00000021556	872	1151	867	4166	4965	2403	552	821	846	912	688	828	1385	987	1818
ENSMUSG00000021557	821	1115	397	448	533	342	518	563	752	343	371	494	531	437	831
ENSMUSG00000021559	45	44	31	1	11	0	22	16	22	19	102	53	56	2	87
ENSMUSG00000021565	11649	16309	11789	890	663	504	148	235	176	1	10	8	0	6	0
ENSMUSG00000021566	39	71	42	8	2	2	3	0	2	0	0	0	0	0	0
ENSMUSG00000021567	40	34	11	7	12	20	20	22	12	8	4	0	6	1	9
ENSMUSG00000021569	27	26	30	256	294	591	1161	1185	1012	122	151	116	330	277	440
ENSMUSG00000021572	330	634	241	436	431	428	605	593	622	104	235	224	365	221	248
ENSMUSG00000021573	23	22	1	92	69	58	8	12	13	0	6	3	10	0	22
ENSMUSG00000021575	15	0	0	0	1	0	7	0	0	10	23	6	31	1	17
ENSMUSG00000021576	5259	5585	4389	7299	7287	6104	4810	6490	5303	4585	4513	4522	5838	4102	6131
ENSMUSG00000021577	19613	20829	14592	13626	15796	12021	12873	16453	13707	12141	6658	12693	18293	10994	10590
ENSMUSG00000021578	1781	2020	1013	1348	1596	1000	1282	1582	1587	1178	955	1506	1841	1348	1828
ENSMUSG00000021579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021583	6527	8497	4093	7274	7420	3156	4265	5202	6255	3435	2617	4273	3797	4229	5835
ENSMUSG00000021585	9423	10984	5080	8943	9598	5049	4080	5673	6812	4015	3256	4276	4910	4953	5679
ENSMUSG00000021587	3060	4435	1841	34	23	22	435	515	724	14	54	25	12	5	11
ENSMUSG00000021589	10	1	0	6	0	4	5	0	2	0	0	0	15	0	1
ENSMUSG00000021590	4	8	1	3	2	0	2	1	1	0	5	1	5	2	6
ENSMUSG00000021591	1114	1010	923	3454	3729	4668	1310	1639	1270	2581	2598	2026	3422	2199	4632
ENSMUSG00000021592	627	738	282	403	407	142	144	220	249	324	239	378	492	301	580
ENSMUSG00000021594	60	17	2	37	15	61	60	78	55	45	17	26	65	40	32
ENSMUSG00000021595	2172	2360	1736	1761	1619	1006	2527	2681	3011	1248	1387	1145	1693	1887	2044
ENSMUSG00000021596	46	7	27	29	79	15	67	149	198	29	231	107	174	9	221
ENSMUSG00000021597	909	1459	371	556	562	213	454	541	819	471	276	522	482	640	599
ENSMUSG00000021598	3122	3363	2702	5191	5400	5426	3466	4287	3458	4040	3343	4433	4566	3234	4663
ENSMUSG00000021600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021606	1890	1968	1718	2128	2381	3405	2831	3629	2686	2681	2143	2151	3104	2088	2498
ENSMUSG00000021607	2722	3129	2606	3738	4007	4768	4502	5573	4113	3098	3564	3165	3813	2883	4126
ENSMUSG00000021608	502	555	326	365	294	263	308	366	372	231	446	355	501	385	622
ENSMUSG00000021609	5	0	0	0	0	0	0	0	0	0	7	0	0	0	2
ENSMUSG00000021610	637	626	446	591	703	721	649	723	750	934	985	855	1089	625	1137
ENSMUSG00000021611	32	64	23	35	48	29	40	60	54	48	88	96	88	111	144
ENSMUSG00000021612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021613	0	0	0	0	1	0	3	0	0	1	1	4	2	0	6
ENSMUSG00000021614	18	5	2	2	20	0	77	107	196	45	74	72	50	57	46
ENSMUSG00000021615	1242	1487	746	844	835	501	470	664	666	470	471	777	684	486	714
ENSMUSG00000021619	502	706	439	460	494	234	419	500	593	344	308	488	388	371	565
ENSMUSG00000021620	7	3	0	0	0	0	2	0	4	0	12	1	0	0	2
ENSMUSG00000021621	1390	1978	981	1549	1455	819	1032	1237	1271	957	868	1259	1538	1098	1586
ENSMUSG00000021622	0	4	1	2	0	0	0	0	0	0	0	0	3	0	0
ENSMUSG00000021624	35	7	7	80	91	49	87	81	85	59	316	213	267	53	290
ENSMUSG00000021629	692	843	522	667	613	329	448	614	644	532	619	578	737	468	884
ENSMUSG00000021631	175	137	125	144	137	161	143	180	142	111	105	108	106	90	124
ENSMUSG00000021635	2045	2192	915	1781	1806	761	890	1109	1346	961	812	1052	1141	1058	1807
ENSMUSG00000021636	133	159	129	353	370	232	300	409	492	602	517	608	1086	688	1092
ENSMUSG00000021638	2	0	0	2	0	0	16	24	9	2	9	6	9	5	12
ENSMUSG00000021639	1673	1816	1010	1806	1676	863	1842	2134	2063	1218	1085	1590	1410	1358	1986
ENSMUSG00000021640	0	0	1	2	0	1	0	2	1	1	5	8	6	0	17
ENSMUSG00000021643	10	11	12	17	27	36	86	107	110	74	68	64	68	54	58
ENSMUSG00000021645	1059	1053	784	1081	1202	1086	1419	1801	1240	769	739	813	1164	747	1074
ENSMUSG00000021646	532	893	645	337	318	267	550	820	664	671	553	936	1153	581	610
ENSMUSG00000021647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021650	3354	3410	2612	3141	3277	2633	2594	3283	3017	2261	2143	2599	3158	2067	3061
ENSMUSG00000021660	8865	7915	6643	15193	15747	13984	13221	17970	14719	8743	10269	6663	10775	9009	11451
ENSMUSG00000021661	676	970	520	827	775	554	362	436	525	842	669	689	841	754	1015
ENSMUSG00000021662	1	0	0	0	0	1	0	0	4	15	2	1	4	5	4
ENSMUSG00000021665	2469	2266	1985	3791	4035	3566	1577	2194	1795	1073	2801	1480	2779	1455	2656
ENSMUSG00000021666	1671	2633	909	1323	1693	1270	1095	1335	1269	1005	1010	1349	1473	1178	1667
ENSMUSG00000021668	632	879	301	1029	1089	394	404	493	763	654	544	833	750	892	1310
ENSMUSG00000021669	336	605	204	478	404	169	274	325	518	221	238	227	221	260	466
ENSMUSG00000021670	2737	3326	2118	2060	2376	2204	2537	2858	3250	1219	1310	1346	2124	1564	2132
ENSMUSG00000021671	713	976	572	491	585	374	520	625	484	376	303	416	538	465	650
ENSMUSG00000021675	66	115	38	886	1180	785	124	70	79	1697	572	1073	842	729	844
ENSMUSG00000021676	1195	1403	568	2503	2483	910	377	457	597	255	255	222	238	327	708
ENSMUSG00000021678	566	380	589	334	313	180	187	170	211	366	302	275	647	589	955
ENSMUSG00000021679	2	3	0	1	2	0	0	5	0	2	3	0	4	1	6
ENSMUSG00000021680	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000021681	628	786	429	892	872	378	442	568	699	542	556	715	748	565	887
ENSMUSG00000021684	13	47	28	16	16	4	12	20	10	58	111	111	90	21	129
ENSMUSG00000021685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021686	2718	2888	1870	3397	3265	1771	2632	3773	3673	3250	3014	2587	4176	3773	4622
ENSMUSG00000021687	98	124	66	41	62	11	116	95	133	165	261	287	495	99	256
ENSMUSG00000021690	652	848	291	408	324	104	80	106	174	140	176	297	280	217	162
ENSMUSG00000021692	1123	1550	758	714	628	495	889	1025	928	784	613	794	865	718	800
ENSMUSG00000021693	1257	1700	603	2202	2187	749	719	877	1154	613	496	887	701	918	939
ENSMUSG00000021694	504	710	377	303	345	367	392	414	378	451	341	416	541	518	651
ENSMUSG00000021696	446	459	324	457	533	274	14	59	17	1	18	1	16	1	10
ENSMUSG00000021697	354	161	100	441	554	1156	484	572	528	38	70	36	152	60	168
ENSMUSG00000021699	1373	1119	455	441	406	180	177	240	404	217	257	303	497	252	234
ENSMUSG00000021700	4	1	0	0	0	8	1	0	0	0	0	2	16	0	1
ENSMUSG00000021701	17	20	5	23	18	2	515	713	534	139	168	166	207	94	148
ENSMUSG00000021702	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1
ENSMUSG00000021703	376	350	222	234	287	173	76	107	116	54	114	65	174	106	122
ENSMUSG00000021704	165	307	57	68	68	41	53	57	102	58	49	98	142	78	200
ENSMUSG00000021706	1041	1458	486	471	590	160	207	240	407	314	313	388	481	367	647
ENSMUSG00000021707	262	376	164	383	408	839	2106	2482	2100	432	535	500	769	642	831
ENSMUSG00000021708	460	418	276	154	196	86	49	63	70	54	100	119	241	44	124
ENSMUSG00000021709	3103	3141	1135	2320	2295	629	836	1114	2089	1040	830	1339	1126	1231	1845
ENSMUSG00000021710	353	450	216	935	1026	488	751	896	945	567	665	419	848	657	1068
ENSMUSG00000021711	2085	2267	1125	1629	1844	1080	1254	1689	1727	1395	1090	1888	1672	1484	2181
ENSMUSG00000021712	1526	2044	762	1281	1240	361	464	678	903	573	374	810	656	837	1058
ENSMUSG00000021713	595	751	331	549	531	264	469	546	780	314	325	426	408	387	708
ENSMUSG00000021714	34	38	13	291	334	292	834	1083	1192	141	181	176	239	349	438
ENSMUSG00000021715	897	1423	512	717	726	289	808	1007	1217	723	403	763	685	556	978
ENSMUSG00000021716	554	714	448	724	788	326	401	507	618	443	540	622	602	720	953
ENSMUSG00000021718	2	0	0	2	0	0	2	6	1	0	0	2	16	6	4
ENSMUSG00000021719	0	0	0	0	0	0	1	2	0	1	1	0	1	0	0
ENSMUSG00000021720	4	0	1	15	14	1	3	3	1	6	25	12	38	0	58
ENSMUSG00000021721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021725	1174	3152	1336	732	812	613	382	535	599	453	889	915	875	462	868
ENSMUSG00000021728	20396	22528	12510	17860	18622	10186	5427	8190	8015	543	3213	1662	2455	565	1977
ENSMUSG00000021730	10	1	0	1	3	8	0	0	5	2	2	3	7	1	2
ENSMUSG00000021731	205	119	122	198	157	119	156	207	236	159	181	140	161	139	250
ENSMUSG00000021732	7	2	0	0	0	0	0	0	1	0	6	0	3	0	4
ENSMUSG00000021733	482	593	208	1359	1337	518	380	435	523	313	369	437	636	512	786
ENSMUSG00000021737	4776	4999	3445	5517	6152	4897	6798	8231	6903	3347	3869	3258	4969	3919	6247
ENSMUSG00000021738	789	1009	396	639	606	264	121	191	272	374	477	617	581	427	747
ENSMUSG00000021741	21	14	9	28	24	28	26	36	38	17	26	23	19	15	26
ENSMUSG00000021743	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000021745	0	0	0	0	0	0	0	4	0	1	1	2	1	8	19
ENSMUSG00000021747	1	0	1	0	0	0	32	37	48	3	15	4	0	4	0
ENSMUSG00000021748	5589	7533	4846	5085	5602	5281	4620	5696	4579	4979	3971	4793	6477	4452	6058
ENSMUSG00000021749	0	0	0	0	0	0	6	6	2	3	3	0	0	0	4
ENSMUSG00000021750	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021751	3	0	1	0	3	0	0	0	0	1	18	12	7	5	0
